WP-Line418 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 1.1.0;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 9564;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;Supply +12V                   ;12Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;5       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
22  ;34   ;Supply +3.3V                  ;3.3Vol                        ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
24  ;36   ;1 Digital In                  ;1                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
25  ;37   ;2 Digital In                  ;2                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
26  ;38   ;3 Digital In                  ;3                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
27  ;39   ;4 Digital In                  ;4                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
28  ;40   ;5 Digital In                  ;5                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
29  ;41   ;6 Digital In                  ;6                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2A  ;42   ;7 Digital In                  ;7                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2B  ;43   ;8 Digital In                  ;8                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2C  ;44   ;9 Digital In                  ;9                             ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2D  ;45   ;10 Digital In                 ;10                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2E  ;46   ;11 Digital In                 ;11                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
2F  ;47   ;12 Digital In                 ;12                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
30  ;48   ;13 Digital In                 ;13                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
31  ;49   ;14 Digital In                 ;14                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
32  ;50   ;15 Digital In                 ;15                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
33  ;51   ;16 Digital In                 ;16                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
34  ;52   ;1 - 16 Supply +24V            ;1_16_24Vol                    ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;10      ;0       ;0       ;0       ;1       ;TYPE_U8        
35  ;53   ;17 Digital Out                ;17                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
36  ;54   ;18 Digital Out                ;18                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
37  ;55   ;19 Digital Out                ;19                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
38  ;56   ;20 Digital Out                ;20                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
39  ;57   ;21 Digital Out                ;21                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3A  ;58   ;22 Digital Out                ;22                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3B  ;59   ;23 Digital Out                ;23                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3C  ;60   ;24 Digital Out                ;24                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3D  ;61   ;25 Digital Out                ;25                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3E  ;62   ;26 Digital Out                ;26                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
3F  ;63   ;27 Digital Out                ;27                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
40  ;64   ;28 Digital Out                ;28                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
41  ;65   ;29 Digital Out                ;29                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
42  ;66   ;30 Digital Out                ;30                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
43  ;67   ;31 Digital Out                ;31                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
44  ;68   ;32 Digital Out                ;32                            ;1           ;SCALE_NONE     ;0           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
45  ;69   ;17 - 32 Output Enable         ;17_32_Output_Enable           ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
46  ;70   ;17 - 32 Supply +24V           ;17_32_24Vol                   ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;10      ;0       ;0       ;0       ;1       ;TYPE_U8        
47  ;71   ;17 - 32 Current Limited       ;17_32_Current_Limited         ;1           ;SCALE_NONE     ;0           ;0              ;BIT_INPUT           ;UNIT_NONE      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
48  ;72   ;17 - 32 Output Enable Reset   ;17_32_Output_Reset            ;1           ;SCALE_NONE     ;1           ;0              ;BIT_OUTPUT          ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;1       ;TYPE_U8        
49  ;73   ;33 Analog In Current          ;33                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
4A  ;74   ;34 Analog In Current          ;34                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
4B  ;75   ;35 Analog In Current          ;35                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
4C  ;76   ;36 Analog In Current          ;36                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
4D  ;77   ;37 Analog In Current          ;37                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
4E  ;78   ;38 Analog In Current          ;38                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
4F  ;79   ;39 Analog In Current          ;39                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
50  ;80   ;40 Analog In Current          ;40                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
51  ;81   ;41 Analog In Current          ;41                            ;1000        ;SCALE_DIV      ;0           ;3              ;VALUE_INPUT         ;UNIT_MAMPERE   ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U16       
