WP-Line411 DataID´s:;;;;;;;;;;;;;;;;;;
Revision = 1.1.0;;;;;;;;;;;;;;;;;;
Target = CPU;;;;;;;;;;;;;;;;;;
Project number = 9564;;;;;;;;;;;;;;;;;;

Hex ;Dec  ;Beskrivelse                   ;Navn                          ;Scale Val   ;Scale Typ      ;Initial     ;Precision      ;Type                ;Unit           ;Enable  ;Supscr. ;Thresh. ;Holdtm. ;Invert  ;Offset  ;Scale   ;LogFlag ;Type
1D  ;29   ;Max temperature               ;MaxTmp                        ;10          ;SCALE_DIV      ;850         ;1              ;PARAMETER           ;UNIT_CELSIUS   ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_S16       
20  ;32   ;DataID Count                  ;DataIdCnt                     ;1           ;SCALE_NONE     ;0           ;0              ;LOCAL               ;UNIT_NONE      ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U16       
21  ;33   ;Supply +12V                   ;12Vol                         ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;5       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
22  ;34   ;Supply +3.3V                  ;3.3Vol                        ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_VOLT      ;1       ;1       ;1       ;1000    ;0       ;0       ;0       ;1       ;TYPE_U8        
24  ;36   ;1 PT100/PT1000 In             ;1                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
25  ;37   ;2 PT100/PT1000 In             ;2                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
26  ;38   ;3 PT100/PT1000 In             ;3                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
27  ;39   ;4 PT100/PT1000 In             ;4                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
28  ;40   ;5 PT100/PT1000 In             ;5                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
29  ;41   ;6 PT100/PT1000 In             ;6                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
2A  ;42   ;7 PT100/PT1000 In             ;7                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
2B  ;43   ;8 PT100/PT1000 In             ;8                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
2C  ;44   ;1 PT100/PT1000 Mode           ;1_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2D  ;45   ;2 PT100/PT1000 Mode           ;2_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2E  ;46   ;3 PT100/PT1000 Mode           ;3_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
2F  ;47   ;4 PT100/PT1000 Mode           ;4_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
30  ;48   ;5 PT100/PT1000 Mode           ;5_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
31  ;49   ;6 PT100/PT1000 Mode           ;6_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
32  ;50   ;7 PT100/PT1000 Mode           ;7_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
33  ;51   ;8 PT100/PT1000 Mode           ;8_Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
34  ;52   ;9 PT100/PT1000 In             ;9                             ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
35  ;53   ;10 PT100/PT1000 In            ;10                            ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
36  ;54   ;11 PT100/PT1000 In            ;11                            ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
37  ;55   ;12 PT100/PT1000 In            ;12                            ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
38  ;56   ;13 PT100/PT1000 In            ;13                            ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
39  ;57   ;14 PT100/PT1000 In            ;14                            ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3A  ;58   ;15 PT100/PT1000 In            ;15                            ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3B  ;59   ;16 PT100/PT1000 In            ;16                            ;10          ;SCALE_DIV      ;0           ;1              ;VALUE_INPUT         ;UNIT_CELSIUS   ;1       ;1       ;1       ;60000   ;0       ;0       ;0       ;1       ;TYPE_S16       
3C  ;60   ;9 PT100/PT1000 Mode           ;9.Mode                        ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
3D  ;61   ;10 PT100/PT1000 Mode          ;10_Mode                       ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
3E  ;62   ;11 PT100/PT1000 Mode          ;11_Mode                       ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
3F  ;63   ;12 PT100/PT1000 Mode          ;12_Mode                       ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
40  ;64   ;13 PT100/PT1000 Mode          ;13_Mode                       ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
41  ;65   ;14 PT100/PT1000 Mode          ;14_Mode                       ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
42  ;66   ;15 PT100/PT1000 Mode          ;15_Mode                       ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
43  ;67   ;16 PT100/PT1000 Mode          ;16_Mode                       ;1           ;SCALE_NONE     ;0           ;0              ;OUTPUT_PARAMETER    ;UNIT_NONE      ;1       ;0       ;0       ;0       ;0       ;0       ;0       ;0       ;TYPE_U8        
